ts,elapsed_s,ready_state,http_code,rss_kb,open_fds,meter_count,wip_gen_bytes,wip_wal_bytes,equipment_gen_bytes,equipment_wal_bytes,scratch_run_dirs,snapshot_current_gen_wip,snapshot_current_gen_equipment,snapshot_live_gen_wip,snapshot_live_gen_equipment,note
2026-08-30T15:43:41Z,4013,ready,200,342604,222,272,536576,0,536576,0,0,194.0,194.0,1.0,1.0,
2026-08-30T15:44:12Z,4044,ready,200,343928,222,272,536576,0,536576,0,0,195.0,195.0,1.0,1.0,
2026-08-30T15:44:42Z,4074,ready,200,337184,222,272,536576,0,536576,0,0,197.0,197.0,1.0,1.0,
2026-08-30T15:45:12Z,4104,ready,200,354732,222,272,536576,0,536576,0,0,198.0,198.0,1.0,1.0,
2026-08-30T15:45:42Z,4134,ready,200,340304,222,272,536576,0,536576,0,0,200.0,200.0,1.0,1.0,
2026-08-30T15:46:12Z,4164,ready,200,357276,222,272,536576,0,536576,0,0,201.0,201.0,1.0,1.0,
2026-08-30T15:46:42Z,4194,ready,200,335660,222,272,536576,0,536576,0,0,203.0,203.0,1.0,1.0,
2026-08-30T15:47:12Z,4224,ready,200,349448,222,272,536576,0,536576,0,0,204.0,204.0,1.0,1.0,
2026-08-30T15:47:42Z,4254,ready,200,338400,222,272,536576,0,536576,0,0,206.0,206.0,1.0,1.0,
2026-08-30T15:48:13Z,4285,ready,200,351520,222,272,536576,0,536576,0,0,207.0,207.0,1.0,1.0,
2026-08-30T15:48:43Z,4315,ready,200,338764,222,272,536576,0,536576,0,0,209.0,209.0,1.0,1.0,
2026-08-30T15:49:13Z,4345,ready,200,349568,222,272,536576,0,536576,0,0,210.0,210.0,1.0,1.0,
2026-08-30T15:49:43Z,4375,ready,200,341868,222,272,536576,0,536576,0,0,212.0,212.0,1.0,1.0,
2026-08-30T15:50:13Z,4405,ready,200,355228,222,272,536576,0,536576,0,0,213.0,213.0,1.0,1.0,
2026-08-30T15:50:43Z,4435,ready,200,344028,222,272,536576,0,536576,0,0,215.0,215.0,1.0,1.0,
2026-08-30T15:51:13Z,4465,ready,200,364076,222,272,536576,0,536576,0,0,216.0,216.0,1.0,1.0,
2026-08-30T15:51:43Z,4495,ready,200,361104,222,272,536576,0,536576,0,0,218.0,218.0,1.0,1.0,
2026-08-30T15:52:13Z,4525,ready,200,365336,222,272,536576,0,536576,0,0,219.0,219.0,1.0,1.0,
2026-08-30T15:52:43Z,4555,ready,200,365516,222,272,536576,0,536576,0,0,221.0,221.0,1.0,1.0,
2026-08-30T15:53:13Z,4585,ready,200,397648,222,272,536576,0,536576,0,0,222.0,222.0,1.0,1.0,
2026-08-30T15:53:43Z,4615,ready,200,370100,222,272,536576,0,536576,0,0,224.0,224.0,1.0,1.0,
2026-08-30T15:54:13Z,4645,ready,200,383532,222,272,536576,0,536576,0,0,225.0,225.0,1.0,1.0,
2026-08-30T15:54:44Z,4676,ready,200,371808,222,272,536576,0,536576,0,0,227.0,227.0,1.0,1.0,
